states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
010100,1024.0,378,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,263.0,1024.0,1024.0,1024.0,1024.0,129,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,728.0,1024.0,1024.0,1024.0
100000,,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.0,,,,,829,,,,,,,,,,,,247.0,,,
010000,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,23,,,,,,,,,,,,,,,
001101,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,11.0,,,
001001,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,4,,,,,,,,,,,,2.0,,,
000101,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,2,,,,,,,,,,,,5.0,,,
000010,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1,,,,,,,,,,,,,,,
001000,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2,,,,,,,,,,,,1.0,,,
001100,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,3,,,,,,,,,,,,1.0,,,
000001,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,3,,,,,,,,,,,,16.0,,,
000100,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1,,,,,,,,,,,,3.0,,,
000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3,,,,,,,,,,,,10.0,,,
