states,counts_p4_1of100,counts_p4_2of100,counts_p4_3of100,counts_p4_4of100,counts_p4_5of100,counts_p4_6of100,counts_p4_7of100,counts_p4_8of100,counts_p4_9of100,counts_p4_10of100,counts_p4_11of100,counts_p4_12of100,counts_p4_13of100,counts_p4_14of100,counts_p4_15of100,counts_p4_16of100,counts_p4_17of100,counts_p4_18of100,counts_p4_19of100,counts_p4_20of100,counts_p4_21of100,counts_p4_22of100,counts_p4_23of100,counts_p4_24of100,counts_p4_25of100,counts_p4_26of100,counts_p4_27of100,counts_p4_28of100,counts_p4_29of100,counts_p4_30of100,counts_p4_31of100,counts_p4_32of100,counts_p4_33of100,counts_p4_34of100,counts_p4_35of100,counts_p4_36of100,counts_p4_37of100,counts_p4_38of100,counts_p4_39of100,counts_p4_40of100,counts_p4_41of100,counts_p4_42of100,counts_p4_43of100,counts_p4_44of100,counts_p4_45of100,counts_p4_46of100,counts_p4_47of100,counts_p4_48of100,counts_p4_49of100,counts_p4_50of100,counts_p4_51of100,counts_p4_52of100,counts_p4_53of100,counts_p4_54of100,counts_p4_55of100,counts_p4_56of100,counts_p4_57of100,counts_p4_58of100,counts_p4_59of100,counts_p4_60of100,counts_p4_61of100,counts_p4_62of100,counts_p4_63of100,counts_p4_64of100,counts_p4_65of100,counts_p4_66of100,counts_p4_67of100,counts_p4_68of100,counts_p4_69of100,counts_p4_70of100,counts_p4_71of100,counts_p4_72of100,counts_p4_73of100,counts_p4_74of100,counts_p4_75of100,counts_p4_76of100,counts_p4_77of100,counts_p4_78of100,counts_p4_79of100,counts_p4_80of100,counts_p4_81of100,counts_p4_82of100,counts_p4_83of100,counts_p4_84of100,counts_p4_85of100,counts_p4_86of100,counts_p4_87of100,counts_p4_88of100,counts_p4_89of100,counts_p4_90of100,counts_p4_91of100,counts_p4_92of100,counts_p4_93of100,counts_p4_94of100,counts_p4_95of100,counts_p4_96of100,counts_p4_97of100,counts_p4_98of100,counts_p4_99of100,counts_p4_100of100
000000,1.0,,,,,,1.0,,,,,,,,2.0,1.0,,,,5.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,3.0,,,,4,,,1.0,,,,,,,6,,,,,,,,,,,,8,,10.0,,,,,,,,,,,,,7,,,,,,,,,,,6.0,,
000001,,,,,,,1.0,,,,,,,,8.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,10,,,2.0,,,,,,,15,50.0,,,,,,,,,,,14,,1.0,,,,,,,,,,,,,44,,,,,,,,,,,13.0,,
000010,,,,,,,3.0,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,2.0,,,1.0,,,,,,,,1.0,1.0,,,,12,1.0,,4.0,2.0,,,,,,63,1.0,1.0,,,,,,,,,,10,,2.0,,5.0,,,,,,,,3.0,,,12,,,,,,,3.0,,,4.0,12.0,,
000011,1.0,,,,,,3.0,,,,,,,,16.0,1.0,,,,2.0,,,,61.0,,,,,,,,,,,,,7.0,,,,,,,1.0,7.0,5.0,,,,310,,,1.0,10.0,,,,,,28,2.0,6.0,,,,,,,,,,335,,,,,,,,,,,,,,,127,,,,,,,4.0,,,,29.0,,
000100,,,,,,,,,,,,,,,7.0,,,,,,,,,11.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,3.0,,,,1,1.0,,,2.0,,,,,,6,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,1.0,9.0,,
000110,2.0,,,,,,2.0,,,,,,,,1.0,4.0,,,,2.0,,,,12.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,8,,,4.0,1.0,,,,,,5,14.0,1.0,,,,,,,,,,5,,2.0,,,,,,,,,,2.0,,,8,,,,,,,1.0,,,,20.0,,
001000,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,3.0,1.0,,,,5,2.0,,1.0,,,,,,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,8,,,,,,,,,,,6.0,,
001010,3.0,,,,,,,,,,,,,,10.0,,,,,,,,,29.0,,,,,,,,,,6.0,,,,,,,,,,,10.0,,,,,25,,,3.0,,,,,,,16,16.0,3.0,,,,,,,,,,13,,,,,,,,,,,,1.0,,,21,,,,,,,9.0,,,,10.0,,
001100,2.0,,,,,,1.0,,,,,,,,2.0,,,,,1.0,,,,24.0,,,,,,,,,,3.0,,,1.0,,,,,,,,2.0,,,,,5,,,4.0,,,,,,,21,1.0,1.0,,,,,,,,,,33,,1.0,,2.0,,,,,,,,4.0,,,29,,,,,,,3.0,,,3.0,11.0,,
001110,58.0,,,,,,2.0,,,,,,,,3.0,58.0,,,,63.0,,,2.0,22.0,,,,,,,,,,138.0,,,5.0,,,,,,,2.0,42.0,1.0,,,,15,1.0,,25.0,,,,,,,134,4.0,107.0,,,,,,,,,,47,,90.0,,318.0,,,,,,,,,,,57,,,,,,,132.0,,,271.0,44.0,,
